[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
22	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	2	1240.0	2520	19200	2	2	2
23	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	3	1250.0	2540	19300	2	2	2
24	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	4	1260.0	2560	19400	2	2	2
25	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	5	1270.0	2580	19500	2	2	2
26	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	6	1280.0	2600	19600	2	2	2
27	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	7	1290.0	2620	19700	2	2	2
28	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	8	1300.0	2640	19800	2	2	2
29	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	9	1310.0	2660	19900	2	2	2
30	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	10	1320.0	2680	20000	2	2	2
31	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	1	1730.0	3500	25100	3	3	3
32	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	2	1740.0	3520	25200	3	3	3
33	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	3	1750.0	3540	25300	3	3	3
34	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	4	1760.0	3560	25400	3	3	3
35	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	5	1770.0	3580	25500	3	3	3
36	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	6	1780.0	3600	25600	3	3	3
37	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	7	1790.0	3620	25700	3	3	3
38	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	8	1800.0	3640	25800	3	3	3
39	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	9	1810.0	3660	25900	3	3	3
40	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	10	1820.0	3680	26000	3	3	3
41	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	1	2230.0	4500	30100	4	4	4
42	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	2	2240.0	4520	30200	4	4	4
43	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	3	2250.0	4540	30300	4	4	4
44	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	4	2260.0	4560	30400	4	4	4
45	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	5	2270.0	4580	30500	4	4	4
46	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	6	2280.0	4600	30600	4	4	4
47	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	7	2290.0	4620	30700	4	4	4
48	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	8	2300.0	4640	30800	4	4	4
49	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	9	2310.0	4660	30900	4	4	4
50	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	10	2320.0	4680	31000	4	4	4
