[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>	(함수용)
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	1	530.0	1100	2750	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	2	540.0	1120	2850	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	3	550.0	1140	2950	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	4	560.0	1160	3050	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	5	570.0	1180	3150	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	6	580.0	1200	3250	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	7	590.0	1220	3350	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	8	600.0	1240	3450	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	9	610.0	1260	3550	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	10	620.0	1280	9000	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	1	630.0	1300	9100	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	2	640.0	1320	9200	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	3	650.0	1340	9300	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	4	660.0	1360	9400	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	5	670.0	1380	9500	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	6	680.0	1400	9600	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	7	690.0	1420	9700	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	8	700.0	1440	9800	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	9	710.0	1460	9900	1	1	1	2
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	2	10	720.0	1480	11000	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	1	730.0	1500	11100	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	2	740.0	1520	11200	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	3	750.0	1540	11300	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	4	760.0	1560	11400	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	5	770.0	1580	11500	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	6	780.0	1600	11600	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	7	790.0	1620	11700	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	8	800.0	1640	11800	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	9	810.0	1660	11900	1	1	1	2
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	2	10	820.0	1680	13000	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	1	830.0	1700	13100	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	2	840.0	1720	13200	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	3	850.0	1740	13300	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	4	860.0	1760	13400	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	5	870.0	1780	13500	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	6	880.0	1800	13600	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	7	890.0	1820	13700	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	8	900.0	1840	13800	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	9	910.0	1860	13900	1	1	1	2
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	10	920.0	1880	14000	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	1	930.0	1900	14100	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	2	940.0	1920	14200	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	3	950.0	1940	14300	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	4	960.0	1960	14400	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	5	970.0	1980	14500	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	6	980.0	2000	14600	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	7	990.0	2020	14700	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	8	1000.0	2040	14800	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	9	1010.0	2060	14900	1	1	1	2
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	2	10	1020.0	2080	16000	1	1	1	2
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	1	1030.0	2100	16100	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	2	1040.0	2120	16200	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	3	1050.0	2140	16300	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	4	1060.0	2160	16400	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	5	1070.0	2180	16500	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	6	1080.0	2200	16600	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	7	1090.0	2220	16700	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	8	1100.0	2240	16800	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	9	1110.0	2260	16900	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	10	1120.0	2280	17500	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	1	1130.0	2300	17600	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	2	1140.0	2320	17700	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	3	1150.0	2340	17800	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	4	1160.0	2360	17900	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	5	1170.0	2380	18000	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	6	1180.0	2400	18100	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	7	1190.0	2420	18200	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	8	1200.0	2440	18300	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	9	1210.0	2460	18400	2	2	2	3
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	3	10	1220.0	2480	19000	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	1	1230.0	2500	19100	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	2	1240.0	2520	19200	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	3	1250.0	2540	19300	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	4	1260.0	2560	19400	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	5	1270.0	2580	19500	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	6	1280.0	2600	19600	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	7	1290.0	2620	19700	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	8	1300.0	2640	19800	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	9	1310.0	2660	19900	2	2	2	3
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	3	10	1320.0	2680	21000	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	1	1330.0	2700	21100	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	2	1340.0	2720	21200	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	3	1350.0	2740	21300	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	4	1360.0	2760	21400	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	5	1370.0	2780	21500	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	6	1380.0	2800	21600	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	7	1390.0	2820	21700	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	8	1400.0	2840	21800	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	9	1410.0	2860	21900	2	2	2	3
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	10	1420.0	2880	22000	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	1	1430.0	2900	22100	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	2	1440.0	2920	22200	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	3	1450.0	2940	22300	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	4	1460.0	2960	22400	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	5	1470.0	2980	22500	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	6	1480.0	3000	22600	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	7	1490.0	3020	22700	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	8	1500.0	3040	22800	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	9	1510.0	3060	22900	2	2	2	3
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	3	10	1520.0	3080	23000	2	2	2	3
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	1	1530.0	3100	23100	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	2	1540.0	3120	23200	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	3	1550.0	3140	23300	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	4	1560.0	3160	23400	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	5	1570.0	3180	23500	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	6	1580.0	3200	23600	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	7	1590.0	3220	23700	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	8	1600.0	3240	23800	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	9	1610.0	3260	23900	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	10	1620.0	3280	24000	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	1	1630.0	3300	24100	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	2	1640.0	3320	24200	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	3	1650.0	3340	24300	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	4	1660.0	3360	24400	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	5	1670.0	3380	24500	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	6	1680.0	3400	24600	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	7	1690.0	3420	24700	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	8	1700.0	3440	24800	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	9	1710.0	3460	24900	3	3	3	4
Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	4	10	1720.0	3480	25000	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	1	1730.0	3500	25100	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	2	1740.0	3520	25200	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	3	1750.0	3540	25300	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	4	1760.0	3560	25400	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	5	1770.0	3580	25500	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	6	1780.0	3600	25600	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	7	1790.0	3620	25700	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	8	1800.0	3640	25800	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	9	1810.0	3660	25900	3	3	3	4
Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	4	10	1820.0	3680	26000	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	1	1830.0	3700	26100	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	2	1840.0	3720	26200	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	3	1850.0	3740	26300	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	4	1860.0	3760	26400	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	5	1870.0	3780	26500	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	6	1880.0	3800	26600	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	7	1890.0	3820	26700	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	8	1900.0	3840	26800	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	9	1910.0	3860	26900	3	3	3	4
Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	10	1920.0	3880	27000	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	1	1930.0	3900	27100	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	2	1940.0	3920	27200	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	3	1950.0	3940	27300	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	4	1960.0	3960	27400	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	5	1970.0	3980	27500	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	6	1980.0	4000	27600	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	7	1990.0	4020	27700	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	8	2000.0	4040	27800	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	9	2010.0	4060	27900	3	3	3	4
Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	4	10	2020.0	4080	28000	3	3	3	4
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	1	2030.0	4100	28100	4	4	4	5
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	2	2040.0	4120	28200	4	4	4	5
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	3	2050.0	4140	28300	4	4	4	5
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	4	2060.0	4160	28400	4	4	4	5
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	5	2070.0	4180	28500	4	4	4	5
Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	6	2080.0	4200	28600	4	4	4	5
